"","series","episode","first_name","last_name","signature_bake","technical","show_stopper","result","baker_age","baker_occupation","hometown"
"485",5,7,"Richard","Burr","Minted Lamb Pasties",1,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)","STAR BAKER",38,"Builder","Mill Hill, London"
"486",5,7,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"487",5,7,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"488",5,7,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"489",5,7,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"490",5,7,"Norman","Calder",NA,NA,NA,NA,66,"Retired Naval Officer","Portknockie, Moray"
"491",5,8,"Chetna","Makan","Date and Walnut Swirl Bread",1,"Chocolate Mousse Filled DoughnutsBraided Doughnuts","IN",35,"Fashion Designer","Broadstairs, Kent"
"492",5,8,"Diana","Beard",NA,NA,NA,"IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"493",5,8,"Luis","Troyano","Black Forest Cherry Tree",2,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)","IN",42,"Graphic Designer","Poynton, Cheshire"
"494",5,8,"Nancy","Birtwhistle","Lincolnshire Plum Braid",3,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)","IN",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire"
"495",5,8,"Martha","Collison","Spiced Plum Iced Bread Swirl",5,"Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts","OUT",17,"Student","Ascot, Berkshire"
"496",5,8,"Richard","Burr","Fruit Swedish Tea Ring",4,"Rhubarb and Custard and Toffee Apple Doughnuts","STAR BAKER",38,"Builder","Mill Hill, London"
"497",5,8,"Claire","Goodwin",NA,NA,NA,NA,31,"Speech Therapist","Ashton upon Mersey, Trafford"
"498",5,8,"Enwezor","Nzegwu",NA,NA,NA,NA,39,"Business Consultant","Portsmouth, Hampshire"
"499",5,8,"Iain","Watters",NA,NA,NA,NA,31,"Construction Engineer","London/Belfast"
"500",5,8,"Jordan","Cox",NA,NA,NA,NA,32,"IT Manager","Sneinton, Nottingham"
"501",5,8,"Kate","Henry",NA,NA,NA,NA,41,"Furniture Restorer","Brighton, East Sussex"
"502",5,8,"Norman","Calder",NA,NA,NA,NA,66,"Retired Naval Officer","Portknockie, Moray"
"503",5,9,"Diana","Beard",NA,NA,NA,"IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire"
"504",5,9,"Luis","Troyano","Indian Rose BaklavaHalwa Baklava Rolls",1,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges","IN",42,"Graphic Designer","Poynton, Cheshire"
